,period,load,exp_duration,experiment,duration,energy,power_avg,ID
737,0.1,100,80023,stress-ng,80.02,327.8028500000061,4.096511497125795,773
738,0.1,40,80022,stress-ng,80.017,278.7522749999935,3.483663159078615,781
739,0.1,80,80025,stress-ng,80.022,311.9637500000057,3.898474794431602,806
740,0.1,20,80022,stress-ng,80.018,261.3544749999977,3.2661960433902086,825
741,0.1,20,80022,stress-ng,80.014,260.84222499999896,3.2599573199689926,831
742,0.1,60,80024,stress-ng,80.018,296.5646499999972,3.706224224549441,911
743,0.1,80,80032,stress-ng,80.012,313.72622500000085,3.920989664050403,920
744,0.1,80,80022,stress-ng,80.016,311.6869249999967,3.8953075009997584,925
745,0.2,80,80024,stress-ng,80.008,312.2974000000049,3.9033271672833334,29
746,0.2,20,80022,stress-ng,80.018,258.6918999999934,3.2329213426978103,32
747,0.2,80,80023,stress-ng,80.015,312.1477749999971,3.9011157283009075,41
748,0.2,0,80025,stress-ng,80.018,188.58907500000666,2.3568331500413238,67
749,0.2,20,80025,stress-ng,80.019,258.2181999999903,3.226961096739403,74
750,0.2,100,80027,stress-ng,80.023,327.230150000002,4.089201229646502,89
751,0.2,80,80037,stress-ng,80.031,312.54507499999454,3.9053001336981232,97
752,0.2,0,80025,stress-ng,79.988,188.45452500000613,2.3560349677452384,105
753,0.2,60,80039,stress-ng,80.033,294.8496499999953,3.684100933364928,108
754,0.2,100,80023,stress-ng,80.019,327.30010000000425,4.090279808545524,110
755,0.2,80,80030,stress-ng,80.024,312.71032499999467,3.907706750474791,112
756,0.2,20,80158,stress-ng,80.154,258.9288749999977,3.2303924320682396,146
757,0.2,80,80038,stress-ng,80.034,312.30927499999734,3.9022074993127585,161
758,0.2,60,80038,stress-ng,80.032,297.1808999999927,3.713275939624059,162
759,0.2,0,80025,stress-ng,80.018,188.54705000000615,2.356307955710042,164
760,0.2,20,80099,stress-ng,80.093,260.4940999999918,3.2523953404166632,172
761,0.2,80,80029,stress-ng,80.024,312.2166749999948,3.9015379761071025,205
762,0.2,0,80028,stress-ng,80.023,188.31512500000576,2.353262499531457,208
763,0.2,0,80025,stress-ng,80.02,188.51780000000628,2.3558835291177993,244
764,0.2,0,80025,stress-ng,80.022,188.40515000000804,2.3544169103497543,249
765,0.2,60,80022,stress-ng,80.014,296.3472999999925,3.7036931037067577,252
766,0.2,40,80082,stress-ng,80.078,276.6831999999881,3.455171208071981,253
767,0.2,20,80022,stress-ng,80.018,259.52094999999633,3.2432821365192375,279
768,0.2,100,80029,stress-ng,80.019,327.15072500000497,4.088413064397267,282
769,0.2,60,80044,stress-ng,80.04,296.0748499999955,3.699086081958964,292
770,0.2,100,80024,stress-ng,80.024,327.2834000000034,4.089815555333442,307
771,0.2,80,80027,stress-ng,80.022,312.0630999999948,3.899716328009732,356
772,0.2,100,80031,stress-ng,80.017,327.01515000000546,4.086820925553388,378
773,0.2,40,80097,stress-ng,80.093,277.3536249999899,3.46289469741413,421
774,0.2,60,80058,stress-ng,80.036,296.67259999999646,3.706739467239698,447
775,0.2,20,80023,stress-ng,80.022,259.7505499999916,3.2459892279622053,494
776,0.2,100,80022,stress-ng,80.017,327.2038250000063,4.089178861991906,497
777,0.2,20,80023,stress-ng,80.014,259.70909999998605,3.24579573574607,528
778,0.2,100,80026,stress-ng,80.021,327.34427500000226,4.090729620974522,536
779,0.2,0,80026,stress-ng,80.018,188.37865000000593,2.3542034292284977,545
780,0.2,100,80024,stress-ng,80.017,327.4268250000026,4.091965769773956,592
781,0.2,20,80023,stress-ng,80.019,261.1588749999894,3.263710806183399,593
782,0.2,40,80022,stress-ng,80.019,277.1931499999873,3.464091653232199,619
783,0.2,80,80024,stress-ng,80.02,312.12865000000636,3.90063296675839,654
784,0.2,40,80023,stress-ng,80.019,276.3456999999916,3.453501043502063,673
785,0.2,60,80023,stress-ng,80.012,296.37997499999307,3.704194058391155,681
786,0.2,40,80022,stress-ng,80.013,276.78252499998877,3.4592194393409663,690
787,0.2,60,80040,stress-ng,80.034,297.16672499999567,3.713006034935098,707
788,0.2,40,80063,stress-ng,80.059,276.9680749999878,3.4595495197290473,714
789,0.2,40,80022,stress-ng,80.015,277.03694999999124,3.4623126913702587,726
790,0.2,0,80026,stress-ng,80.023,188.52627500000725,2.355901115929261,750
791,0.2,40,80022,stress-ng,80.011,276.5223749999908,3.456054480008884,756
792,0.2,80,80023,stress-ng,80.013,312.8922250000019,3.9105173534300905,798
793,0.2,60,80042,stress-ng,80.04,295.11692499999623,3.6871180034982034,816
794,0.2,0,80026,stress-ng,80.022,188.80000000000408,2.3593511784259835,851
795,0.2,40,80023,stress-ng,80.019,277.04064999999264,3.462185855859141,857
796,0.2,20,80022,stress-ng,80.016,260.1137499999906,3.2507717206557514,859
797,0.2,60,80043,stress-ng,80.039,295.89934999999474,3.6969396169366777,862
798,0.2,100,80025,stress-ng,80.022,327.3141000000032,4.090301417110334,875
799,0.2,100,80022,stress-ng,80.019,327.76012500000314,4.0960287556705675,904
800,0.2,0,80026,stress-ng,80.018,188.8652250000064,2.3602842485441577,908
801,0.2,20,80022,stress-ng,80.02,260.4610999999924,3.2549500124967814,916
802,0.2,40,80099,stress-ng,80.094,277.20634999998833,3.461012685094868,949
803,0.2,60,80022,stress-ng,80.019,296.1431499999933,3.700910408777831,956
804,0.2,80,80028,stress-ng,80.021,312.63669999999803,3.9069331800402147,963
805,0.5,100,80023,stress-ng,80.017,326.8416750000043,4.084652948748444,19
806,0.5,60,80022,stress-ng,80.017,296.10379999999276,3.700511141382366,34
807,0.5,100,80025,stress-ng,80.021,327.1549500000057,4.0883636795341936,49
808,0.5,100,80023,stress-ng,80.021,327.0254250000041,4.086745041926545,79
809,0.5,20,80022,stress-ng,80.018,255.30902499999067,3.19064491739347,85
810,0.5,0,80025,stress-ng,80.006,188.4605250000058,2.355579894008022,92
811,0.5,0,80027,stress-ng,80.021,188.29235000000736,2.3530367028655896,114
812,0.5,60,80042,stress-ng,80.038,295.8741249999933,3.6966706439440427,141
813,0.5,20,80196,stress-ng,80.191,258.0478999999867,3.2179159756080695,167
814,0.5,0,80026,stress-ng,80.023,188.75182500000585,2.358719680591903,168
815,0.5,20,80154,stress-ng,80.152,261.07237499999223,3.2572159771433307,191
816,0.5,80,80022,stress-ng,80.012,310.95344999999946,3.8863351747237846,221
817,0.5,80,80032,stress-ng,80.025,311.7925499999941,3.8961893158387264,274
818,0.5,0,80026,stress-ng,80.017,188.66822500000586,2.357851768999161,289
819,0.5,80,80024,stress-ng,80.018,312.2169250000002,3.901833649928768,290
820,0.5,0,80026,stress-ng,80.018,188.89307500000632,2.3606322952336516,297
821,0.5,100,80024,stress-ng,80.013,326.69925000000484,4.083077124967253,321
822,0.5,20,80025,stress-ng,79.987,257.8246499999879,3.22333191643627,346
823,0.5,40,80053,stress-ng,80.048,275.50529999998815,3.441751199280284,402
824,0.5,20,80022,stress-ng,80.017,258.90159999998525,3.2355824387315852,425
825,0.5,100,80030,stress-ng,80.024,327.0729500000028,4.08718571928425,434
826,0.5,80,80031,stress-ng,80.025,310.3072249999973,3.8776285535769732,471
