,period,exp_duration,experiment,duration,energy,power_avg,ID
301,0.1,80022,stress-ng,80.014,260.84222499999896,3.2599573199689926,56
302,0.1,80049,stress-ng,80.039,278.0241999999891,3.4736091155560302,84
303,0.1,80023,stress-ng,79.996,278.55307499998924,3.4820875418769597,584
304,0.1,80027,stress-ng,79.996,313.04637499999455,3.9132753512674956,82
305,0.1,80022,stress-ng,80.019,260.71472500000516,3.258160249440822,477
306,0.1,80027,stress-ng,80.018,188.27947500000715,2.3529640205954556,397
307,0.1,80025,stress-ng,80.025,188.62215000000666,2.3570402999063624,147
308,0.1,80023,stress-ng,80.017,260.775849999999,3.2590055863128966,334
309,0.1,80043,stress-ng,80.034,298.2332249999926,3.7263316215607443,356
310,0.1,80033,stress-ng,80.012,312.41872499999505,3.9046483652451514,551
311,0.1,80038,stress-ng,80.03,312.3849499999937,3.9033481194551256,384
312,0.1,80029,stress-ng,80.022,297.04484999999426,3.7120398140510638,138
313,0.1,80023,stress-ng,80.011,296.87694999999525,3.7104516878928555,555
314,0.1,80029,stress-ng,80.023,327.84450000000453,4.096878397460787,379
315,0.1,80026,stress-ng,80.02,188.30292500000735,2.353198262934358,362
316,0.1,80034,stress-ng,80.01,312.65614999999696,3.9077134108236087,124
317,0.1,80042,stress-ng,80.031,296.12519999999967,3.700131199160321,349
318,0.1,80023,stress-ng,80.018,262.0397499999967,3.2747600539878112,119
319,0.1,80025,stress-ng,80.019,188.29187500000677,2.3530895787251374,381
320,0.1,80027,stress-ng,80.023,188.40127500000557,2.354339065018877,352
321,0.1,80022,stress-ng,80.017,277.86257499999084,3.472544271842119,70
322,0.1,80033,stress-ng,80.026,312.7418749999947,3.908003336415599,348
323,0.1,80053,stress-ng,80.045,296.3051249999929,3.701731838340845,318
324,0.1,80026,stress-ng,80.013,188.47827500000656,2.3555956532064357,28
325,0.1,80023,stress-ng,80.014,327.89910000000197,4.098021596220686,440
326,0.1,80034,stress-ng,80.027,313.06299999999925,3.911967211066256,295
327,0.1,80022,stress-ng,80.017,278.7522749999935,3.483663159078615,293
328,0.1,80026,stress-ng,80.025,328.02352500000194,4.099013120899743,209
329,0.1,80024,stress-ng,80.018,296.5646499999972,3.706224224549441,162
330,0.1,80023,stress-ng,80.019,328.0322500000051,4.099429510491322,211
331,0.1,80025,stress-ng,80.018,327.9336250000012,4.098248206653518,412
332,0.1,80023,stress-ng,80.02,327.8028500000061,4.096511497125795,287
333,0.1,80022,stress-ng,80.014,278.329549999992,3.478510635638664,25
334,0.1,80022,stress-ng,80.016,327.8051250000044,4.096744713557343,438
335,0.1,80022,stress-ng,80.017,277.7178249999915,3.4707352812526273,221
336,0.1,80025,stress-ng,80.018,188.630650000006,2.3573527206379317,239
337,0.1,80098,stress-ng,80.09,278.3260249999897,3.4751657510299627,417
338,0.1,80034,stress-ng,80.025,312.7593250000023,3.908270228053762,228
339,0.1,80205,stress-ng,80.198,261.6688499999979,3.2627852315518835,279
340,0.1,80054,stress-ng,80.048,295.9128499999911,3.6966926094342285,235
341,0.1,80025,stress-ng,80.015,188.44997500000784,2.355183090670597,531
